"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"071024","Foggia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",77428,,
"071024","Foggia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",76738,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",92030,,
"073027","Taranto","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",91215,,
"110001","Andria","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",49894,,
"110001","Andria","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",49793,,
"110009","Trani","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",27541,,
"110009","Trani","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",27357,,
"071001","Accadia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1092,,
"071001","Accadia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1079,,
"071001","Accadia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1175,,
"071001","Accadia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1174,,
"075001","Acquarica del Capo","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",2187,,
"075001","Acquarica del Capo","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",2366,,
"072001","Acquaviva delle Fonti","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",9818,,
"072001","Acquaviva delle Fonti","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",9776,,
"072001","Acquaviva delle Fonti","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",10441,,
"072001","Acquaviva delle Fonti","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",10413,,
"072002","Adelfia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",8181,,
"072002","Adelfia","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",8173,,
"072002","Adelfia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",8532,,
"072002","Adelfia","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",8486,,
"072003","Alberobello","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",5159,,
"072003","Alberobello","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",5142,,
"072003","Alberobello","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5501,,
"072003","Alberobello","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",5453,,
"071002","Alberona","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",444,,
