id_comune,anno,numero_maschi,numero_femmine
72019,2020,12724,13159
72020,2019,23263,24516
72020,2020,23167,24383
72021,2019,13411,13878
72021,2020,13284,13830
72022,2019,9517,10127
72022,2020,9439,10085
72023,2019,21374,21709
72023,2020,21302,21617
75096,2019,1109,1251
75096,2020,1101,1238
71001,2019,1092,1175
71001,2020,1079,1174
71002,2019,444,471
71002,2020,433,461
71003,2019,566,630
71003,2020,557,612
71004,2019,6350,6533
71004,2020,6325,6487
71005,2019,3062,3014
71005,2020,3054,2989
71006,2019,1334,1363
71006,2020,1319,1356
71007,2019,1554,1628
71007,2020,1531,1590
71008,2019,3438,3515
71008,2020,3401,3476
71009,2019,1342,1313
71009,2020,1331,1300
71010,2019,3298,3314
71010,2020,3268,3308
71011,2019,469,474
71011,2020,457,453
71012,2019,2016,2044
71012,2020,1969,2003
71013,2019,708,744
71013,2020,696,725
71014,2019,890,900
71014,2020,860,890
71015,2019,1033,1045
71015,2020,1021,1030
71016,2019,602,640
71016,2020,596,644
71017,2019,659,707
71017,2020,657,694
71018,2019,726,779
71018,2020,712,767
71019,2019,83,75
71019,2020,84,79
71020,2019,27423,28005
71020,2020,27399,27925
71021,2019,819,828
71021,2020,795,806
71022,2019,1815,1870
71022,2020,1802,1842
71023,2019,294,324
71023,2020,299,312
71024,2019,73224,77428
71024,2020,72935,76738
71025,2019,2149,2180
71025,2020,2150,2192
71026,2019,268,196
71026,2020,265,187
71027,2019,3107,3132
71027,2020,3098,3127
71028,2019,15882,16714
71028,2020,15677,16517
71029,2019,27734,28147
71029,2020,27568,27949
75073,2019,3353,3525
75073,2020,3321,3488
71031,2019,3039,3124
71031,2020,3025,3102
71032,2019,507,486
71032,2020,500,473
71033,2019,5855,6169
71033,2020,5763,6091
71034,2019,322,366
71034,2020,322,357
71035,2019,1296,1321
71035,2020,1278,1292
71036,2019,8508,8680
71036,2020,8441,8609
71037,2019,359,395
71037,2020,354,387
71038,2019,2213,2176
71038,2020,2168,2176
71039,2019,1270,1362
71039,2020,1265,1339
71040,2019,1295,1323
71040,2020,1287,1300
75053,2019,2442,2716
75053,2020,2400,2669
71041,2019,940,1030
71041,2020,924,1006
72024,2019,6263,6174
72024,2020,6233,6145
71042,2019,887,923
71042,2020,862,895
71043,2019,1753,1794
71043,2020,1733,1781
71046,2019,13158,13774
71046,2020,13105,13733
71044,2019,504,547
71044,2020,501,543
72025,2019,6864,7247
72025,2020,6874,7232
71047,2019,6444,6763
71047,2020,6363,6675
71048,2019,481,477
71048,2020,456,460
71049,2019,7153,7706
71049,2020,7022,7599
71050,2019,2780,2914
71050,2020,2777,2892
71051,2019,24315,25697
71051,2020,24086,25410
71053,2019,1858,1993
71053,2020,1825,1953
71052,2019,918,957
71052,2020,925,957
75078,2019,1707,1887
75078,2020,1673,1860
75079,2019,6652,7164
75079,2020,6602,7103
72027,2019,18624,19358
72027,2020,18339,19217
75074,2019,877,971
75074,2020,872,970
75080,2019,1041,1199
75080,2020,1036,1185
71054,2019,2867,2852
71054,2020,2863,2815
71055,2019,2530,2660
71055,2020,2507,2628
72028,2019,12343,12588
72028,2020,12245,12517
71063,2019,1417,1393
71063,2020,1430,1406
75081,2019,2126,2178
75081,2020,2118,2141
75054,2019,1044,1183
75054,2020,1022,1169
71058,2019,3392,3606
71058,2020,3369,3575
72029,2019,28322,30067
72029,2020,28197,29948
75082,2019,748,845
75082,2020,733,844
71061,2019,183,227
71061,2020,182,219
71062,2019,791,867
71062,2020,788,859
71064,2019,1701,1623
71064,2020,1717,1631
72030,2019,23423,24611
72030,2020,23441,24660
75083,2019,7219,7537
75083,2020,7110,7487
72031,2019,9101,9667
72031,2020,9037,9614
75084,2019,5579,6036
75084,2020,5565,5981
72032,2019,13000,13158
72032,2020,12907,13130
75075,2019,1959,2041
75075,2020,1954,2014
75085,2019,5643,6167
75085,2020,5612,6106
110001,2019,48818,49894
110001,2020,48621,49793
110002,2019,46383,47052
110002,2020,46300,46975
110003,2019,27174,27532
110003,2020,27112,27517
110004,2019,14445,14903
110004,2020,14250,14723
110005,2019,5615,5864
110005,2020,5576,5828
75055,2019,3724,4132
75055,2020,3680,4056
72033,2019,10348,10619
72033,2020,10297,10594
110006,2019,4259,4393
110006,2020,4194,4349
110009,2019,27541,28069
110009,2020,27357,28048
72034,2019,777,663
72034,2020,690,649
72035,2019,8633,9027
72035,2020,8623,8940
110007,2019,6923,6969
110007,2020,6914,6933
110008,2019,3035,3290
110008,2020,2977,3227
75087,2019,6779,7362
75087,2020,6740,7336
75088,2019,8349,8908
75088,2020,8355,8898
72036,2019,12764,13351
72036,2020,12748,13308
110010,2019,6994,7377
110010,2020,6855,7252
75089,2019,2449,2700
75089,2020,2474,2687
72037,2019,9107,9289
72037,2020,9091,9345
75076,2019,2534,2807
75076,2020,2541,2784
75090,2019,5880,6321
75090,2020,5883,6331
72038,2019,12248,12807
72038,2020,12166,12752
75091,2019,2069,2311
75091,2020,2050,2305
75056,2019,1174,1174
75056,2020,1132,1167
72039,2019,3031,3239
72039,2020,3020,3227
75092,2019,6624,7149
75092,2020,6563,7108
72040,2019,4972,4748
72040,2020,4926,4729
75070,2019,2781,3019
75070,2020,2760,2978
75093,2019,3375,3630
75093,2020,3347,3594
72041,2019,12915,13207
72041,2020,12818,13108
75094,2019,909,1004
75094,2020,902,995
75095,2019,994,1008
75095,2020,987,998
75077,2019,2269,2431
75077,2020,2241,2408
72043,2019,13105,13250
72043,2020,13066,13196
75097,2019,3151,3130
75097,2020,3138,3092
72044,2019,4061,4184
72044,2020,4011,4141
75098,2020,4584,5024
72046,2019,12971,13721
72046,2020,12873,13636
72047,2019,6299,6700
72047,2020,6328,6711
72048,2019,8502,8994
72048,2020,8484,8957
