;;;;;;;
Riepilogo complessivo qualita dell'aria ;;;;;;;
* Il valore fa riferimento al numero dei superamenti del PM10 nel periodo tra il 01/01/ 2019 e il 01/01/2019 ;;;;;;;
NB - Per unita di misura, valore di soglia e parametro di valutazione fare riferimento a quanto riportato sul sito web www.arpa.puglia.it - sezione aria  ;;;;;;;
Provincia: Bari ;;;;;;;
Inquinante: PM10 ;;;;;;;
;;;;;;;
NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
Altamura - Via Santeramo;2019-01-22 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-01-23 00:00:00.0;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;2019-01-24 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-01-25 00:00:00.0;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;2019-01-26 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-01-27 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-01-28 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-01-29 00:00:00.0;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;2019-01-30 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-01-31 00:00:00.0;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;2019-02-01 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-02 00:00:00.0;Bari;Altamura;PM10;35;7
Altamura - Via Santeramo;2019-02-03 00:00:00.0;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;2019-02-04 00:00:00.0;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;2019-02-05 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-06 00:00:00.0;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;2019-02-07 00:00:00.0;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;2019-02-08 00:00:00.0;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;2019-02-09 00:00:00.0;Bari;Altamura;PM10;34;7
Altamura - Via Santeramo;2019-02-10 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-02-11 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-02-12 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-02-13 00:00:00.0;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;2019-02-14 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-02-15 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-02-16 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-17 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-18 00:00:00.0;Bari;Altamura;PM10;38;7
Altamura - Via Santeramo;2019-02-19 00:00:00.0;Bari;Altamura;PM10;47;7
Altamura - Via Santeramo;2019-02-20 00:00:00.0;Bari;Altamura;PM10;43;7
Altamura - Via Santeramo;2019-02-21 00:00:00.0;Bari;Altamura;PM10;39;7
Altamura - Via Santeramo;2019-02-22 00:00:00.0;Bari;Altamura;PM10;43;7
Altamura - Via Santeramo;2019-02-23 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-24 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-02-25 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-02-26 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-02-27 00:00:00.0;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;2019-02-28 00:00:00.0;Bari;Altamura;PM10;23;7
Altamura - Via Santeramo;2019-03-01 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-02 00:00:00.0;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;2019-03-03 00:00:00.0;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;2019-03-04 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-03-05 00:00:00.0;Bari;Altamura;PM10;15;7
Altamura - Via Santeramo;2019-03-06 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-07 00:00:00.0;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;2019-03-08 00:00:00.0;Bari;Altamura;PM10;28;7
Altamura - Via Santeramo;2019-03-09 00:00:00.0;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;2019-03-10 00:00:00.0;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;2019-03-11 00:00:00.0;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;2019-03-12 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-03-13 00:00:00.0;Bari;Altamura;PM10;6;7
Altamura - Via Santeramo;2019-03-14 00:00:00.0;Bari;Altamura;PM10;;7
Altamura - Via Santeramo;2019-03-15 00:00:00.0;Bari;Altamura;PM10;;7
Altamura - Via Santeramo;2019-03-16 00:00:00.0;Bari;Altamura;PM10;;7
Altamura - Via Santeramo;2019-03-17 00:00:00.0;Bari;Altamura;PM10;;7
Altamura - Via Santeramo;2019-03-18 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-03-19 00:00:00.0;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;2019-03-20 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-03-21 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-22 00:00:00.0;Bari;Altamura;PM10;28;7
Altamura - Via Santeramo;2019-03-23 00:00:00.0;Bari;Altamura;PM10;28;7
Altamura - Via Santeramo;2019-03-24 00:00:00.0;Bari;Altamura;PM10;24;7
Altamura - Via Santeramo;2019-03-25 00:00:00.0;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;2019-03-26 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-27 00:00:00.0;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;2019-03-28 00:00:00.0;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;2019-03-29 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-30 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-03-31 00:00:00.0;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;2019-04-01 00:00:00.0;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;2019-04-02 00:00:00.0;Bari;Altamura;PM10;29;7
Altamura - Via Santeramo;2019-04-03 00:00:00.0;Bari;Altamura;PM10;27;7
Altamura - Via Santeramo;2019-04-04 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-04-05 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-04-06 00:00:00.0;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;2019-04-07 00:00:00.0;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;2019-04-08 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-04-09 00:00:00.0;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;2019-04-10 00:00:00.0;Bari;Altamura;PM10;11;7
Altamura - Via Santeramo;2019-04-11 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-04-12 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-04-13 00:00:00.0;Bari;Altamura;PM10;7;7
Altamura - Via Santeramo;2019-04-14 00:00:00.0;Bari;Altamura;PM10;6;7
Altamura - Via Santeramo;2019-04-15 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-04-16 00:00:00.0;Bari;Altamura;PM10;19;7
Altamura - Via Santeramo;2019-04-17 00:00:00.0;Bari;Altamura;PM10;18;7
Altamura - Via Santeramo;2019-04-18 00:00:00.0;Bari;Altamura;PM10;22;7
Altamura - Via Santeramo;2019-04-19 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-04-20 00:00:00.0;Bari;Altamura;PM10;20;7
Altamura - Via Santeramo;2019-04-21 00:00:00.0;Bari;Altamura;PM10;21;7
Altamura - Via Santeramo;2019-04-22 00:00:00.0;Bari;Altamura;PM10;25;7
Altamura - Via Santeramo;2019-04-23 00:00:00.0;Bari;Altamura;PM10;39;7
Altamura - Via Santeramo;2019-04-24 00:00:00.0;Bari;Altamura;PM10;54;7
Altamura - Via Santeramo;2019-04-25 00:00:00.0;Bari;Altamura;PM10;54;7
Altamura - Via Santeramo;2019-04-26 00:00:00.0;Bari;Altamura;PM10;50;7
Altamura - Via Santeramo;2019-04-27 00:00:00.0;Bari;Altamura;PM10;45;7
Altamura - Via Santeramo;2019-04-28 00:00:00.0;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;2019-04-29 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-04-30 00:00:00.0;Bari;Altamura;PM10;8;7
Altamura - Via Santeramo;2019-05-01 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-05-02 00:00:00.0;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;2019-05-03 00:00:00.0;Bari;Altamura;PM10;16;7
Altamura - Via Santeramo;2019-05-04 00:00:00.0;Bari;Altamura;PM10;14;7
Altamura - Via Santeramo;2019-05-05 00:00:00.0;Bari;Altamura;PM10;9;7
Altamura - Via Santeramo;2019-05-06 00:00:00.0;Bari;Altamura;PM10;10;7
Altamura - Via Santeramo;2019-05-07 00:00:00.0;Bari;Altamura;PM10;12;7
Altamura - Via Santeramo;2019-05-08 00:00:00.0;Bari;Altamura;PM10;13;7
Altamura - Via Santeramo;2019-05-09 00:00:00.0;Bari;Altamura;PM10;;7
Altamura - Via Santeramo;2019-05-10 00:00:00.0;Bari;Altamura;PM10;17;7
Altamura - Via Santeramo;2019-05-11 00:00:00.0;Bari;Altamura;PM10;15;7
